company_name,domain,linkedin_url,hq_city,hq_country,employee_count,estimated_revenue,industry,signal(s),qualified (yes/no),notes
Kofein,kofein.hr,https://www.linkedin.com/company/kofeinagency,Zagreb,Croatia,39,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-3 batch (companies not scanned in rounds 1-2); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Creature Amsterdam,creatureamsterdam.com,https://www.linkedin.com/company/creatureamsterdam,Amsterdam,Netherlands,69,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-3 batch (companies not scanned in rounds 1-2); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Google Maps,google.com,https://www.linkedin.com/company/googlemaps,San Jose,United States,309,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Marketing Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-3 batch (companies not scanned in rounds 1-2); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Elevate97,elevate97.com,https://www.linkedin.com/company/fulfillnet-inc-,Green Bay,United States,79,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-3 batch (companies not scanned in rounds 1-2); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Newristics,newristics.com,https://www.linkedin.com/company/newristics,Scottsdale,United States,44,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Marketing Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-3 batch (companies not scanned in rounds 1-2); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Nolcha,nolcha.com,https://www.linkedin.com/company/nolcha,New York,United States,22,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Events Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-3 batch (companies not scanned in rounds 1-2); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Vibe Agency,thevibeagency.com,https://www.linkedin.com/company/the-vibe-agency,Miami,United States,35,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Events Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-3 batch (companies not scanned in rounds 1-2); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Ciceron,ciceron.com,https://www.linkedin.com/company/ciceron,St. Paul,United States,22,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-3 batch (companies not scanned in rounds 1-2); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Güd Marketing,gudmarketing.com,https://www.linkedin.com/company/gudmarketing,Lansing,United States,82,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-3 batch (companies not scanned in rounds 1-2); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Cookerly Pr,cookerly.com,https://www.linkedin.com/company/cookerly-public-relations,Atlanta,United States,46,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Public Relations and Communications Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-3 batch (companies not scanned in rounds 1-2); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Business Radiox,businessradiox.com,https://www.linkedin.com/company/business-radiox,Atlanta,United States,17,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-3 batch (companies not scanned in rounds 1-2); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
KORTX,kortx.io,https://www.linkedin.com/company/kortxio,Berkley,United States,48,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-3 batch (companies not scanned in rounds 1-2); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Chatter Communications,welovechatter.com,https://www.linkedin.com/company/chatter-communications,Leeds,United Kingdom,42,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-3 batch (companies not scanned in rounds 1-2); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Professional Sports Partners,professionalsportspartners.com,https://www.linkedin.com/company/professional-sports-partners,Houston,United States,25,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-3 batch (companies not scanned in rounds 1-2); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
United Internet Media GmbH,united-internet-media.de,https://www.linkedin.com/company/united-internet-media,Karlsruhe,Germany,162,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-3 batch (companies not scanned in rounds 1-2); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Herr Enterprises,herr-enterprises.com,https://www.linkedin.com/company/herr-enterprises,Austin,United States,21,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-3 batch (companies not scanned in rounds 1-2); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Cs Events,csevents.it,https://www.linkedin.com/company/cseventssrl,Rome,Italy,10,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Events Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-3 batch (companies not scanned in rounds 1-2); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Virginia Media,virginiamedia.com,https://www.linkedin.com/company/virginia-media,Norfolk,United States,24,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-3 batch (companies not scanned in rounds 1-2); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Janine Stone & Co,janinestone.com,https://www.linkedin.com/company/janine-stone,London,United Kingdom,21,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Design Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-3 batch (companies not scanned in rounds 1-2); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
RQ,rqagency.com,https://www.linkedin.com/company/rq-media-group,Los Angeles,United States,90,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-3 batch (companies not scanned in rounds 1-2); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Agency Access,agencyaccess.com,https://www.linkedin.com/company/agency-access,New York,United States,74,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-3 batch (companies not scanned in rounds 1-2); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Venveo,venveo.com,https://www.linkedin.com/company/venveo,Blacksburg,United States,55,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-3 batch (companies not scanned in rounds 1-2); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Imagicorps,imagicorps.com,https://www.linkedin.com/company/imagicorps,Redmond,United States,39,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-3 batch (companies not scanned in rounds 1-2); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Jh Specialty,jhspecialty.com,https://www.linkedin.com/company/jh-specialty-inc,Fort Wayne,United States,95,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-3 batch (companies not scanned in rounds 1-2); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Gallagher Staging And Productions,gallagherstaging.com,https://www.linkedin.com/company/gallagher-staging-and-productions,La Mirada,United States,83,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Events Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-3 batch (companies not scanned in rounds 1-2); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
