company_name,domain,linkedin_url,hq_city,hq_country,employee_count,estimated_revenue,industry,signal(s),qualified (yes/no),notes
AKQA,akqa.com,https://www.linkedin.com/company/akqa,San Francisco,United States,1834,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Design Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
RH,rh.com,https://www.linkedin.com/company/rh1,Corte Madera,United States,6637,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Design Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
Digitas North America,digitas.com,https://www.linkedin.com/company/digitas-north-america,Boston,United States,2653,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
Infiniti Research Ltd.,infinitiresearch.com,https://www.linkedin.com/company/infiniti-research,London,United Kingdom,580,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Market Research,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
Designit,designit.com,https://www.linkedin.com/company/designit,Copenhagen,Denmark,1648,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Design Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
OMD,omd.com,https://www.linkedin.com/company/omd,New York,United States,4159,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Large global holding-company network -- included per widened-net instruction; note it will dominate any blanket people-search pull (see Progress Log).
Interpublic Group (IPG),omc.com,https://www.linkedin.com/company/ipg,New York,United States,2545,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Large global holding-company network -- included per widened-net instruction; note it will dominate any blanket people-search pull (see Progress Log).
Carat,carat.com,https://www.linkedin.com/company/carat,London,United Kingdom,2316,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
Ux Design Awards,ux-design-awards.com,https://www.linkedin.com/company/ux-design-awards,Berlin,Germany,95,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Design Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
Toluna,tolunacorporate.com,https://www.linkedin.com/company/toluna,London,United Kingdom,3227,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Market Research,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
Droga5,droga5.com,https://www.linkedin.com/company/droga5,New York,United States,532,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
Dynata,dynata.com,https://www.linkedin.com/company/dynataglobal,Shelton,United States,4810,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Market Research,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
Initiative,initiative.com,https://www.linkedin.com/company/initiative,New York,United States,3120,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
Escalent,escalent.co,https://www.linkedin.com/company/thinkescalent,Livonia,United States,1326,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Market Research,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
Power Digital Marketing,powerdigitalmarketing.com,https://www.linkedin.com/company/powerdigitalmarketing,San Diego,United States,2448,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
Content Marketing Institute,contentmarketinginstitute.com,https://www.linkedin.com/company/content-marketing-institute,New York,United States,535,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
Isobar,dentsucreative.com,https://www.linkedin.com/company/isobar,London,United Kingdom,942,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
Klaviyo,klaviyo.com,https://www.linkedin.com/company/klaviyo,Boston,United States,3001,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Marketing Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
Octagon,octagon.com,https://www.linkedin.com/company/octagon,Stamford,United States,1450,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
Interbrand,interbrand.com,https://www.linkedin.com/company/interbrand,New York,United States,811,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
It\'s Nice That,itsnicethat.com,https://www.linkedin.com/company/it's-nice-that,London,United Kingdom,108,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Design Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
SGS & Co,sgsco.com,https://www.linkedin.com/company/sgsco,Louisville,United States,3064,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
Flywheel,flywheeldigital.com,https://www.linkedin.com/company/flywheel-digital,Baltimore,United States,2052,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
Teads,teads.com,https://www.linkedin.com/company/teads,New York,United States,1821,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
Wolff Olins,wolffolins.com,https://www.linkedin.com/company/wolff-olins,London,United Kingdom,202,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Design Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
Golin,golin.com,https://www.linkedin.com/company/golin,Chicago,United States,879,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Public Relations and Communications Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
Spiralyze,spiralyze.com,https://www.linkedin.com/company/spiralyze,Atlanta,United States,207,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Marketing Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
Ims Internet Media Services,imscorporate.com,https://www.linkedin.com/company/ims-inc-,Miami,United States,481,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
Flos,flos.com,https://www.linkedin.com/company/flos,Bovezzo,Italy,726,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Design Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
Bbh London,bartleboglehegarty.com,https://www.linkedin.com/company/bbh-london,London,United Kingdom,554,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
UM Worldwide,umww.com,https://www.linkedin.com/company/um-ww,New York,United States,2073,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
Annalect,annalect.com,https://www.linkedin.com/company/annalect-group,New York,United States,1271,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
Horizon Media,horizonmedia.com,https://www.linkedin.com/company/horizon-media,New York,United States,3165,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
Icon,icon.com,https://www.linkedin.com/company/icon,New York,United States,160,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
Buzzman,buzzman.eu,https://www.linkedin.com/company/buzzman,Paris,France,243,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
Bcw Global,bcw-global.com,https://www.linkedin.com/company/bcw-global,New York,United States,416,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Public Relations and Communications Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
Ketchum,ketchum.com,https://www.linkedin.com/company/ketchum,New York City,United States,694,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Public Relations and Communications Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
Metrixlab,metrixlab.com,https://www.linkedin.com/company/metrixlab,Rotterdam,Netherlands,663,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Market Research,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
Superside,superside.com,https://www.linkedin.com/company/superside,Wilmington,United States,1061,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Design Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
BCD Meetings & Events,bcdme.com,https://www.linkedin.com/company/bcdme,Chicago,United States,2660,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Events Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
Pininfarina SpA,pininfarina.com,https://www.linkedin.com/company/pininfarina,Cambiano,Italy,680,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Design Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
Kobie,kobie.com,https://www.linkedin.com/company/kobie,Saint Petersburg,United States,440,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Marketing Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
Stagwell,stagwellglobal.com,https://www.linkedin.com/company/stagwell,New York City,United States,10852,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Large global holding-company network -- included per widened-net instruction; note it will dominate any blanket people-search pull (see Progress Log).
iQuanti,iquanti.com,https://www.linkedin.com/company/iquanti-inc,Jersey City,United States,482,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
McCANN New York,mccannny.com,https://www.linkedin.com/company/mccannnewyork,New York,United States,355,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
Thornton Tomasetti,thorntontomasetti.com,https://www.linkedin.com/company/thornton-tomasetti,New York,United States,2230,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Design Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
MKTG,mktg.com,https://www.linkedin.com/company/mktg_inc,New York,United States,723,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
Seedtag,seedtag.com,https://www.linkedin.com/company/seedtag,New York,United States,730,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
Sgk,sgkinc.com,https://www.linkedin.com/company/sgk,Des Plaines,United States,6823,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
Circana,circana.com,https://www.linkedin.com/company/wearecircana,Chicago,United States,6258,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Market Research,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
Cision,cision.com,https://www.linkedin.com/company/cision,Chicago,United States,3885,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Public Relations and Communications Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
Business Wire,businesswire.com,https://www.linkedin.com/company/business-wire,San Francisco,United States,920,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Public Relations and Communications Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
Heatherwick Studio,heatherwick.com,https://www.linkedin.com/company/heatherwick-studio,London,United Kingdom,297,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Design Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
Two Circles,twocircles.com,https://www.linkedin.com/company/two-circles,London,United Kingdom,2924,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Marketing Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
Omd Usa,omd.com,https://www.linkedin.com/company/omd-usa,New York,United States,1400,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
Jack Morton Worldwide,jackmorton.com,https://www.linkedin.com/company/jack-morton-worldwide,Boston,United States,1461,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
Viral Nation,viralnation.com,https://www.linkedin.com/company/viralnationinc,New York,United States,552,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
Screaming Frog,screamingfrog.co.uk,https://www.linkedin.com/company/screaming-frog,Henley-On-Thames,United Kingdom,62,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
360i,360i.com,https://www.linkedin.com/company/360i,New York,United States,296,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
Money20 20,money2020.com,https://www.linkedin.com/company/money2020,New York,United States,435,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Events Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
GroundTruth,groundtruth.com,https://www.linkedin.com/company/groundtruthco,New York,United States,381,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
Hearts & Science,hearts-science.com,https://www.linkedin.com/company/hearts-science,New York,United States,1190,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
GMR Marketing,gmrmarketing.com,https://www.linkedin.com/company/gmr-marketing,New Berlin,United States,1677,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
TBWA\Media Arts Lab,mediaartslab.com,https://www.linkedin.com/company/tbwamedia-arts-lab,Los Angeles,United States,847,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
Event Organizers,eventorganizers.com,https://www.linkedin.com/company/eventorganizers,San Francisco | Stockholm,United States,2506,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Events Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
GUT,gut.agency,https://www.linkedin.com/company/gutagency,Miami,United States,585,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
Rai Pubblicità,raipubblicita.it,https://www.linkedin.com/company/raipubblicita,Milano,Italy,731,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
MiQ,wearemiq.com,https://www.linkedin.com/company/miq-digital,London,United Kingdom,2014,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
Iris London,iris-worldwide.com,https://www.linkedin.com/company/iris,London,United Kingdom,2396,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
Harte Hanks,hartehanks.com,https://www.linkedin.com/company/hartehanks,Chelmsford,United States,4279,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
MediaMint,mediamint.com,https://www.linkedin.com/company/mediamint,San Francisco,United States,2736,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
LiveRamp,liveramp.com,https://www.linkedin.com/company/liveramp,San Francisco,United States,1653,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
Hyve Group,hyve.group,https://www.linkedin.com/company/hyve-group-limited,London,United Kingdom,2261,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Events Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
M Science,mscience.com,https://www.linkedin.com/company/m-science-llc,New York,United States,203,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Market Research,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
The Writer,thewriter.com,https://www.linkedin.com/company/thewriterltd,London,United Kingdom,52,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
Print Magazine,printmag.com,https://www.linkedin.com/company/print-magazine,Austin,United States,300,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Graphic Design,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
